user_id,session_id,tip_id
247621,1512327859247025,0
14,1512778247123,1
14,1512778247123,1
14,1512778247123,1
256005,1512778108254886,441730
14,1512778476301,1
14,1512778476301,1
14,1512778476301,1
14,1512778476301,1
249288,1512778101249177,441732
256005,1512778108254886,441735
14,1512778854123,1
14,1512778854123,1
14,1512778854123,1
137661,151277881995884,441736
256005,1512778108254886,441740
14,1512779650123,1
14,1512779682116523,1
256005,1512778108254886,441746
224414,1512533331223849,441748
14,1512780461246396,1
14,1512780461246396,1
224414,1512533331223849,441749
14,1512780461246396,1
14,1512780461246396,1
14,1512780461246396,1
14,1512780461246396,1
242568,1512775817142478,441750
14,151277821718347,1
254441,1512773720251119,441751
14,1512779682116523,1
14,1512779682116523,1
242568,1512775817142478,441752
242568,1512775817142478,441755
216212,1512778874216212,441756
14,1512781070127,1
14,1512781070127,1
14,1512781112123,1
242568,1512775817142478,441757
14,1512781070127,1
199595,151277821718347,441758
199595,151277821718347,441759
242568,1512775817142478,441760
14,1512781112123,1
242568,1512775817142478,441764
14,1512781112123,1
255604,1512779173253706,441766
256029,1512779173253706,441769
255134,1512775817142478,441771
242568,1512775817142478,441773
256034,1512779173253706,441775
231379,1512775817142478,441776
14,1512782523217550,1
14,1512782523217550,1
14,1512782523217550,1
242568,1512775817142478,441777
14,1512781077248713,1
14,1512781077248713,1
14,1512781077248713,1
231379,1512775817142478,441779
242568,1512775817142478,441780
219249,1512778718218890,441790
14,1512783292205832,1
14,1512783292205832,1
14,1512783292205832,1
14,1512783292205832,1
14,1512783292205832,1
14,1512783292205832,1
14,1512783292205832,1
256005,1512778108254886,441795
14,1512783292205832,1
14,1512783292205832,1
219249,1512778718218890,441796
231379,1512775817142478,441804
187661,1512782531168064,441803
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512784018253962,1
14,1512778053201005,1
14,1512778053201005,1
14,1512784331179147,1
14,1512784331179147,1
242568,1512775817142478,441810
187661,1512782531168064,441811
256005,1512778108254886,441809
14,1512784331179147,1
14,1512784331179147,1
14,1512784331179147,1
237982,1512775817142478,441813
14,1512784569232382,1
14,1512784569232382,1
14,1512783292205832,1
14,1512784569232382,1
14,1512784569232382,1
14,1512784569232382,1
14,1512784569232382,1
14,1512784780201732,1
14,1512784569232382,1
14,1512784780201732,1
14,1512784780201732,1
14,1512784780201732,1
14,1512750818213127,1
14,1512784569232382,1
14,1512750818213127,1
14,1512750818213127,1
14,1512750818213127,1
256054,1512782531168064,441820
14,1512784966210794,1
14,1512750818213127,1
256045,1512764561215276,441828
187661,1512782531168064,441825
256054,1512782531168064,441826
224380,1512533331223849,441829
14,1512785546214472,1
212272,1512778874216212,441833
14,1512786165128187,1
14,1512786165128187,1
256063,1512782531168064,441841
242568,1512775817142478,441844
252769,1512778101249177,441845
224380,1512533331223849,441848
242568,1512775817142478,441849
256054,1512782531168064,441858
255036,1512784546236505,441862
242568,1512775817142478,441865
242568,1512775817142478,441867
224380,1512533331223849,441870
255660,1512786556179147,441868
14,1512764561215276,1
242568,1512775817142478,441871
255026,1512784546236505,441872
224380,1512533331223849,441873
254586,1512750818213127,441874
242568,1512775817142478,441875
251203,1512778101249177,441876
242568,1512775817142478,441877
255036,1512784546236505,441878
242568,1512775817142478,441879
255036,1512784546236505,441880
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
214472,1512750818213127,441881
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
14,1512789407123,1
255036,1512784546236505,441884
206646,1512786556179147,441883
14,1512789407123,1
14,1512789407123,1
206646,1512786556179147,441883
14,1512786556179147,1
14,1512789781245204,1
206646,1512786556179147,441883
206646,1512786556179147,441883
14,1512789781245204,1
14,1512786556179147,1
14,1512789781245204,1
14,1512786556179147,1
206646,1512786556179147,441883
14,1512786556179147,1
14,1512789781245204,1
206646,1512786556179147,441883
14,1512786556179147,1
206646,1512786556179147,441883
206646,1512786556179147,441883
14,1512786556179147,1
206646,1512786556179147,441883
14,1512786556179147,1
206646,1512786556179147,441883
242568,1512775817142478,441886
242568,1512775817142478,441889
14,151279018448925,1
14,151279018448925,1
255036,1512784546236505,441890
206646,1512786556179147,441893
242568,1512775817142478,441895
14,151279018448925,1
14,151279018448925,1
242568,1512775817142478,441897
255036,1512784546236505,441898
240031,1512786556179147,441899
242568,1512775817142478,441900
240031,1512786556179147,441901
255036,1512784546236505,441903
240031,1512786556179147,441904
256088,1512786556179147,441905
105722,1512779682116523,441909
216212,1512778874216212,441910
105722,1512779682116523,441911
255036,1512784546236505,441915
255261,1512778874216212,441916
14,1512792394207145,1
14,1512792394207145,1
255036,1512784546236505,441919
208090,1512778874216212,441922
255036,1512784546236505,441923
256125,1512778874216212,441926
208090,1512778874216212,441927
256125,1512778874216212,441929
208090,1512778874216212,441931
256125,1512778874216212,441932
88867,151278689288675,441934
208090,1512778874216212,441935
256125,1512778874216212,441936
255036,1512784546236505,441938
208090,1512778874216212,441939
256125,1512778874216212,441943
208090,1512778874216212,441945
256137,1512790967246396,441946
14,151279425624689,1
14,151279425624689,1
14,151279425624689,1
14,151279425624689,1
256125,1512778874216212,441949
256125,1512778874216212,441951
208090,1512778874216212,441952
256125,1512778874216212,441953
255026,1512784546236505,441954
256125,1512778874216212,441955
255026,1512784546236505,441956
208090,1512778874216212,441958
256125,1512778874216212,441960
208090,1512778874216212,441961
256125,1512778874216212,441962
88867,151278689288675,441968
256125,1512778874216212,441967
256125,1512778874216212,441970
256125,1512778874216212,441972
14,1512786223130772,1
14,1512786223130772,1
256125,1512778874216212,441978
255854,1512778874216212,441983
256150,1512791179241643,441988
191648,151278689288675,441989
191648,151278689288675,441990
191648,151278689288675,441993
14,1512798365123,1
88867,151278689288675,442002
216212,1512778874216212,442008
88867,151278689288675,442011
14,1512800168254027,1
14,1512800168254027,1
14,1512800168254027,1
